cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1964758,2008,0.95829785,0.99489361,-0.053824037,NA,0.013446569
1964766,2013,0.62908393,0.20884049,0.075081944,0.27447003,0.03101936
1964766,2015,0.66441876,0.29543996,NA,0.42306837,-0.0012788922
1964774,2004,0.99507713,0.71441281,NA,NA,0.0099551082
1964774,2006,0.99446183,0.79810274,NA,NA,-0.019722611
1964774,2008,0.99691737,0.61683106,0.1206367,NA,-0.0070557296
1964790,2008,0.71874535,0.56161314,0.20289257,-0.086067393,0.024012491
1964790,2016,0.75465995,0.58656591,NA,0.056379348,-0.081432804
1964808,2004,0.96529311,0.77864057,NA,NA,-0.037182465
1964808,2014,0.97975767,0.85283542,NA,-0.26669875,0.036908492
1964832,2008,0.43340963,0.28710908,0.096845776,0.33837155,0.11693877
1964832,2010,0.50372314,0.25054753,0.12063086,0.40463686,0.034578145
1964840,2004,0.77199894,0.45409879,NA,NA,-0.1333189
1964840,2016,0.89319819,0.63708925,NA,-0.0070510004,0.039121762
1964857,2002,0.5906285,NA,NA,NA,0.010902748
1964857,2004,0.66230285,0.51242143,NA,NA,0.10181712
1964857,2008,0.76940155,0.66924173,0.020819545,-0.36893785,-0.034890667
1964857,2012,0.87533873,0.73295128,0.13621271,-0.39708608,-0.017028034
1964857,2016,0.9142952,0.72967839,NA,-0.2674076,-0.054218799
1964865,2012,0.3765586,0.013466334,-0.13365144,1.2981818,0.0075330734
1964865,2016,0.43100268,0.023054997,NA,1.1533159,0.031657964
1964873,2004,0.95083833,0.6934132,NA,NA,0.040753558
1964881,2002,0.82814586,NA,NA,NA,0.40750074
1964881,2004,0.83475506,0.66286594,NA,NA,0.03022635
1964881,2008,0.84073532,0.62202561,0.1359674,-0.22418095,-0.05550918
1964881,2010,0.84625715,0.67693412,0.12714294,-0.14471942,-0.23427212
1964881,2012,0.84557766,0.6154511,0.040834833,-0.10757475,-0.028093576
1964881,2014,0.83508718,0.51066941,NA,-0.052649461,0.4646112
1964907,2002,0.90196705,NA,NA,NA,0.015171774
1964907,2004,0.90444559,0.7255553,NA,NA,-0.1313661
1964907,2006,0.91415066,0.72510803,NA,NA,-0.075585946
1964907,2012,0.93613476,0.75720525,-0.089489311,-0.22080146,0.11222084
1964907,2016,0.95483303,0.77461302,NA,-0.28528669,-0.019803032
