baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
40,0,1,0,0,0,0,1.5572072,0.82494074
59,1,0,1,0,1,0,-0.70028865,0.14471886
40,0,1,1,1,0,0,0.78961039,1.3623337
44,0,1,1,0,1,0,-0.5036028,0.15527739
42,0,0,1,0,0,0,-0.078840345,-0.2281003
56,0,1,1,0,0,0,-1.0552164,-0.58748507
39,1,0,1,1,0,0,1.4432442,1.4664563
69,0,0,1,0,0,0,-0.015856342,1.4171915
42,1,1,1,1,0,0,-0.079281956,-0.36517757
53,1,1,1,0,1,0,-1.3346252,-1.843806
71,1,0,1,0,1,0,-0.76371425,0.526007
65,0,1,1,1,0,0,1.7099855,2.1930671
61,1,1,1,0,1,0,-3.2440438,-3.1570745
63,1,1,1,1,0,0,1.1390746,0.4626801
68,0,1,1,0,0,0,0.98607546,-1.1832629
28,0,0,1,0,0,0,-3.0407283,-3.1570745
53,1,0,1,1,0,0,1.8742651,0.21013531
21,0,0,0,1,0,0,1.0885372,-1.3528022
21,0,1,0,1,0,0,0.87233329,0.31425801
50,0,0,1,0,0,0,-2.0893338,-0.38420507
68,0,1,1,1,0,1,1.1390746,1.0387793
65,0,1,0,1,0,0,0.87233329,1.2526178
38,0,0,1,0,0,0,-0.18654491,0.32272699
57,0,1,1,0,1,0,-0.085470185,1.2526178
58,1,0,0,0,0,0,-0.015635539,-1.0453994
63,1,0,1,0,1,0,-2.260464,-0.53262717
58,0,1,1,0,0,0,0.33907145,-0.85905737
45,1,0,0,0,0,0,0.067087352,0.4817076
45,0,1,1,1,0,0,1.6904675,2.6101856
57,1,0,1,0,0,0,2.3946388,-1.0158134
31,0,0,1,0,0,0,-0.59943473,0.10888845
57,1,1,1,0,0,0,0.87233329,0.035003025
67,0,1,1,1,0,0,-0.45328623,-1.0623374
